usage_frequency,subscription_type,login_activity,support_tickets,payment_history,avg_session_minutes,monthly_spend,tenure_months,region,churn
17.88,annual,27.43,0,on_time,20.56,101.0,3,EU,0
3.41,monthly,21.58,1,on_time,22.17,89.42,16,APAC,0
12.87,monthly,,1,delayed,4.5,85.96,20,EU,0
14.79,monthly,22.64,1,on_time,22.25,73.04,4,EU,1
15.72,monthly,15.16,2,on_time,,131.36,42,NA,1
18.79,quarterly,9.04,0,chargeback,8.39,93.65,5,EU,1
13.71,monthly,21.01,1,on_time,,90.23,6,EU,0
11.33,quarterly,36.35,1,,10.77,126.26,21,APAC,0
24.71,quarterly,33.27,1,delayed,20.54,69.93,17,EU,0
13.76,monthly,18.2,0,delayed,9.49,77.01,18,NA,0
25.93,quarterly,17.97,4,,27.74,110.25,1,NA,0
13.72,monthly,17.16,0,,21.95,133.68,18,EU,0
15.89,monthly,17.16,2,on_time,7.65,85.25,17,APAC,1
15.03,monthly,25.17,2,delayed,24.83,94.82,9,NA,0
17.62,quarterly,33.63,2,delayed,19.38,39.52,3,NA,0
13.06,monthly,46.89,0,on_time,14.1,119.9,13,NA,0
16.67,monthly,12.87,1,on_time,19.05,53.67,22,EU,0
26.72,monthly,29.16,4,on_time,20.55,68.9,28,NA,1
23.34,monthly,27.97,2,on_time,10.45,89.28,11,EU,1
23.39,quarterly,18.37,1,on_time,20.01,65.83,30,APAC,0
6.61,monthly,10.71,3,delayed,12.4,29.69,3,MEA,1
7.74,monthly,,0,delayed,,49.4,23,APAC,1
17.52,monthly,45.32,3,delayed,14.18,86.76,13,NA,0
21.4,quarterly,24.96,0,on_time,8.96,125.9,3,EU,0
12.37,monthly,13.34,1,on_time,,123.64,27,,0
11.12,monthly,20.27,1,on_time,12.73,94.7,13,NA,1
25.76,monthly,9.46,1,on_time,15.93,88.39,24,MEA,0
,annual,22.2,2,on_time,17.45,95.7,12,EU,0
23.41,annual,29.52,0,on_time,23.82,109.01,12,NA,0
,quarterly,14.38,5,on_time,12.39,87.28,9,NA,0
12.36,monthly,0.0,1,on_time,9.91,88.24,13,LATAM,1
22.64,annual,25.05,2,on_time,24.87,80.73,18,MEA,0
14.16,quarterly,16.48,3,on_time,15.02,112.27,12,LATAM,1
11.72,quarterly,13.74,2,on_time,11.73,45.68,5,NA,0
9.61,monthly,13.65,3,on_time,17.17,84.46,17,APAC,0
12.42,monthly,26.4,3,on_time,12.94,95.22,17,NA,1
22.13,monthly,17.51,4,on_time,13.39,30.99,5,EU,1
5.43,annual,32.23,2,,30.44,98.71,8,APAC,1
20.4,monthly,32.48,1,failed,9.07,114.13,4,MEA,1
11.04,monthly,19.02,1,on_time,6.37,29.51,14,EU,0
14.53,monthly,16.27,5,delayed,22.35,72.43,20,EU,1
14.98,monthly,23.4,2,on_time,12.72,73.36,19,NA,0
14.45,monthly,20.4,0,delayed,16.91,59.11,3,EU,0
,annual,2.72,0,failed,18.83,56.68,13,NA,0
,quarterly,43.06,1,on_time,4.5,69.37,5,LATAM,0
12.0,quarterly,29.86,3,delayed,21.84,101.08,4,NA,0
25.24,monthly,16.9,3,on_time,11.63,118.93,13,APAC,1
16.18,quarterly,0.92,4,on_time,26.39,99.45,9,NA,0
15.12,quarterly,,1,on_time,10.22,58.41,38,EU,0
11.49,quarterly,15.53,1,on_time,24.39,106.15,41,NA,0
13.14,monthly,21.33,5,failed,25.48,100.91,20,EU,1
11.51,monthly,0.0,2,delayed,12.06,10.0,8,,0
21.36,monthly,16.81,2,on_time,13.86,118.72,2,APAC,1
10.72,monthly,17.48,0,chargeback,13.12,87.74,8,MEA,0
1.0,monthly,19.88,1,on_time,24.12,88.78,23,NA,0
16.41,monthly,19.4,2,on_time,16.08,35.2,9,APAC,0
14.04,monthly,22.57,2,delayed,18.2,129.19,3,LATAM,0
11.9,quarterly,38.73,0,on_time,14.14,93.43,34,NA,0
22.38,monthly,16.33,0,on_time,17.83,105.7,6,LATAM,0
1.0,annual,11.98,1,,18.22,42.24,7,MEA,0
27.03,quarterly,3.0,3,on_time,11.42,98.33,29,LATAM,0
23.38,monthly,16.38,2,on_time,25.63,98.89,15,APAC,0
11.6,quarterly,6.59,4,on_time,13.78,79.64,16,APAC,0
12.84,monthly,32.56,3,delayed,21.18,47.79,16,EU,0
,annual,20.94,1,on_time,7.43,74.05,6,APAC,0
19.72,monthly,32.33,0,on_time,19.1,57.26,20,MEA,1
11.56,quarterly,38.12,4,delayed,21.39,64.45,25,NA,0
4.68,monthly,12.48,2,on_time,,116.48,14,APAC,0
30.8,monthly,18.18,3,,21.46,86.43,11,EU,0
22.69,monthly,36.65,2,delayed,10.76,81.74,31,NA,1
17.1,annual,24.08,1,delayed,17.84,45.98,23,APAC,0
17.23,monthly,27.74,0,on_time,,82.72,6,APAC,0
20.35,monthly,33.36,4,delayed,15.89,79.79,21,APAC,1
21.19,monthly,31.86,1,delayed,10.24,56.51,12,LATAM,0
,monthly,26.51,2,on_time,14.59,114.38,16,EU,1
13.54,monthly,37.36,1,delayed,23.28,113.04,39,LATAM,1
12.82,monthly,21.25,1,delayed,25.43,62.31,3,APAC,0
14.87,monthly,27.71,1,on_time,7.31,95.08,2,LATAM,0
21.4,annual,20.06,2,on_time,22.47,28.91,8,NA,0
3.47,annual,33.23,2,delayed,23.39,83.62,11,EU,1
6.56,monthly,14.29,0,,16.95,105.88,7,LATAM,1
11.23,monthly,3.49,1,on_time,23.15,52.56,20,NA,0
17.08,monthly,29.2,1,delayed,12.51,84.42,18,EU,1
21.82,quarterly,10.78,1,delayed,11.92,87.57,13,,0
,monthly,9.69,1,delayed,,164.9,17,APAC,0
14.0,quarterly,35.91,3,failed,19.28,156.26,16,LATAM,0
,quarterly,32.63,3,on_time,14.42,93.01,32,APAC,0
20.97,quarterly,18.23,2,on_time,10.71,65.42,6,MEA,0
19.79,monthly,0.0,2,on_time,10.99,90.84,15,EU,0
15.83,annual,27.87,0,on_time,15.01,103.98,29,APAC,0
13.2,monthly,29.29,1,on_time,9.9,37.13,11,LATAM,0
8.54,monthly,27.68,1,delayed,19.01,25.44,13,APAC,1
8.08,monthly,27.18,0,failed,22.17,51.91,23,NA,0
18.43,monthly,20.0,2,,20.84,105.35,2,EU,0
,annual,17.48,1,delayed,32.47,96.28,25,,0
13.09,quarterly,9.83,0,on_time,17.46,96.38,17,APAC,0
20.65,monthly,14.33,0,on_time,25.17,115.1,21,EU,0
14.6,annual,25.54,2,on_time,16.1,71.02,20,APAC,1
9.61,monthly,25.72,1,on_time,13.33,76.41,4,LATAM,0
14.13,monthly,30.69,1,on_time,15.71,94.78,4,NA,1
21.74,monthly,6.53,2,delayed,16.0,131.92,1,APAC,1
8.84,annual,3.75,2,on_time,14.26,85.96,4,APAC,0
,monthly,17.82,1,on_time,8.5,81.32,5,NA,0
15.61,monthly,10.78,2,on_time,9.12,95.28,14,EU,0
10.67,monthly,24.05,2,on_time,21.8,123.84,30,EU,0
13.95,annual,7.59,3,chargeback,20.0,66.53,10,LATAM,1
5.0,annual,34.98,2,failed,25.67,64.31,13,EU,0
,quarterly,12.96,0,on_time,12.64,70.73,12,,0
6.45,annual,,1,on_time,12.08,96.14,18,EU,1
23.51,annual,27.77,3,on_time,8.1,55.96,8,LATAM,0
15.36,monthly,10.39,5,delayed,21.34,101.94,12,APAC,1
12.0,monthly,45.04,1,on_time,9.65,42.81,24,NA,0
24.12,quarterly,24.92,3,on_time,14.81,76.73,30,MEA,0
8.78,quarterly,23.83,0,on_time,16.88,82.37,29,NA,0
10.77,monthly,21.28,1,on_time,5.62,134.06,26,NA,0
3.2,monthly,27.13,1,on_time,19.66,111.17,28,EU,0
25.17,quarterly,27.78,0,on_time,21.06,74.03,13,APAC,0
29.11,monthly,12.49,2,on_time,16.66,69.48,8,LATAM,0
4.28,annual,19.65,0,on_time,14.48,58.61,17,NA,0
10.29,monthly,23.27,1,on_time,14.81,52.58,18,APAC,0
16.49,monthly,28.41,4,on_time,23.4,129.24,11,APAC,0
12.39,annual,28.6,3,on_time,15.32,56.55,8,LATAM,0
15.78,monthly,23.81,5,delayed,14.88,132.18,28,LATAM,0
15.18,monthly,15.95,3,failed,,86.78,13,APAC,1
18.85,quarterly,15.38,1,on_time,2.0,81.69,10,NA,1
9.27,annual,8.89,2,failed,,78.06,11,NA,0
17.35,monthly,28.52,1,delayed,14.98,117.88,15,MEA,0
8.19,monthly,15.22,2,delayed,9.75,60.08,8,APAC,1
13.12,quarterly,19.89,0,on_time,27.66,98.23,18,EU,0
3.84,annual,24.62,1,on_time,17.64,74.62,1,LATAM,0
13.17,monthly,22.04,1,on_time,13.76,95.29,4,LATAM,0
,monthly,21.94,0,chargeback,21.11,78.28,10,APAC,1
22.61,monthly,12.05,0,on_time,17.21,73.89,19,LATAM,0
,monthly,24.96,2,on_time,,98.71,10,NA,0
16.86,monthly,18.56,2,on_time,11.35,45.34,25,APAC,0
15.84,quarterly,21.05,4,on_time,19.18,123.03,30,MEA,0
1.1,monthly,34.74,2,on_time,20.64,87.02,12,NA,1
2.02,monthly,27.56,0,on_time,11.38,68.61,6,NA,0
13.77,quarterly,15.72,3,on_time,3.63,94.32,12,APAC,0
17.95,quarterly,20.36,4,delayed,20.7,64.55,24,EU,0
14.36,monthly,39.59,2,on_time,18.77,86.21,6,NA,0
9.95,quarterly,18.62,1,on_time,20.05,86.38,20,NA,1
,quarterly,22.44,3,delayed,15.28,119.23,12,NA,0
13.71,quarterly,29.31,0,on_time,20.78,91.81,21,NA,0
21.45,monthly,24.37,2,delayed,11.08,52.65,18,LATAM,0
21.06,monthly,17.9,0,delayed,13.88,100.27,8,APAC,0
12.13,annual,13.82,5,,8.72,93.77,12,APAC,0
15.65,monthly,21.89,0,on_time,,38.86,18,NA,0
17.93,monthly,29.24,2,,14.72,50.73,24,EU,1
18.97,monthly,36.53,2,on_time,16.39,140.28,12,NA,0
27.57,quarterly,5.88,2,on_time,17.6,74.71,24,LATAM,0
15.8,annual,41.39,1,on_time,13.57,67.83,42,MEA,0
24.18,monthly,18.83,2,on_time,19.93,83.02,25,EU,0
7.88,annual,32.17,2,on_time,24.95,59.45,13,MEA,0
11.54,monthly,13.89,0,on_time,20.88,34.37,13,NA,1
1.05,monthly,4.28,2,on_time,4.66,52.58,4,NA,1
17.06,quarterly,7.56,3,on_time,15.66,66.11,11,APAC,0
20.53,monthly,18.36,0,chargeback,15.93,69.92,20,EU,0
1.0,monthly,27.77,3,on_time,22.45,62.46,24,MEA,1
17.32,monthly,,1,on_time,11.71,42.23,6,NA,1
20.23,annual,19.25,1,on_time,8.76,61.65,17,APAC,0
19.83,quarterly,34.3,3,on_time,,115.23,27,,0
7.63,annual,22.02,1,on_time,14.88,58.67,5,NA,0
21.41,quarterly,25.08,0,delayed,11.26,78.9,16,EU,0
16.07,monthly,56.22,2,on_time,13.44,124.43,9,MEA,0
20.14,quarterly,21.91,0,on_time,6.53,64.75,5,APAC,1
15.12,monthly,14.35,1,on_time,16.02,169.6,12,APAC,0
18.67,monthly,27.29,3,,13.18,108.97,3,,0
23.76,annual,30.07,5,on_time,18.2,77.55,8,NA,1
,quarterly,25.31,0,on_time,13.77,77.05,14,NA,0
17.99,monthly,23.73,0,delayed,15.21,121.58,24,LATAM,0
24.75,monthly,38.3,1,delayed,12.27,64.59,6,NA,1
15.07,quarterly,36.93,1,on_time,,71.88,11,NA,0
8.12,annual,20.71,2,chargeback,8.22,116.1,24,APAC,0
20.73,quarterly,14.92,2,,21.19,73.49,7,APAC,0
26.04,monthly,26.72,1,on_time,14.75,70.93,5,,1
25.02,monthly,14.86,3,delayed,3.07,65.45,30,NA,0
,monthly,31.74,2,on_time,5.49,29.89,13,EU,0
1.0,quarterly,26.66,4,on_time,21.23,112.42,25,APAC,0
11.55,annual,51.37,4,on_time,14.74,74.52,8,,0
11.91,monthly,,1,delayed,14.88,113.95,21,APAC,1
16.31,monthly,10.13,0,on_time,14.98,79.27,24,NA,0
27.82,monthly,16.29,1,on_time,17.92,72.18,9,LATAM,0
8.44,quarterly,0.95,1,on_time,,65.42,20,MEA,0
31.7,quarterly,0.0,5,on_time,17.67,103.15,8,NA,1
13.32,monthly,23.25,1,failed,16.84,61.48,29,EU,1
10.63,monthly,8.88,1,delayed,11.57,94.77,8,EU,1
21.92,quarterly,40.05,1,on_time,5.74,85.07,30,LATAM,0
22.47,monthly,34.74,1,,17.85,54.81,17,EU,0
20.55,annual,19.01,2,delayed,18.33,64.3,11,APAC,0
10.61,monthly,18.39,4,on_time,21.6,84.28,33,NA,1
19.51,monthly,38.34,1,on_time,,75.31,9,NA,0
8.77,annual,40.86,2,on_time,,123.36,42,APAC,0
10.42,monthly,11.74,1,on_time,11.32,90.58,20,APAC,1
15.34,monthly,10.33,3,on_time,19.01,78.51,5,,0
10.26,monthly,18.69,2,on_time,15.01,73.83,10,LATAM,0
23.37,monthly,26.74,0,,23.66,77.58,11,APAC,0
11.95,monthly,16.35,1,on_time,13.84,66.98,42,EU,0
14.46,monthly,26.97,0,delayed,27.01,60.95,28,LATAM,0
9.84,monthly,43.45,1,failed,15.34,100.76,24,LATAM,1
23.26,monthly,6.53,1,on_time,24.77,127.12,9,LATAM,0
11.34,quarterly,17.1,1,on_time,2.0,71.38,12,MEA,0
23.99,quarterly,6.74,0,delayed,17.92,96.02,20,EU,1
23.48,monthly,12.8,3,delayed,15.14,65.4,21,APAC,1
12.88,monthly,18.76,1,on_time,,86.91,13,APAC,0
16.21,monthly,14.0,3,on_time,14.91,47.36,12,NA,0
12.68,annual,27.72,2,on_time,7.57,54.09,20,APAC,1
19.82,annual,23.66,2,delayed,11.88,53.19,33,EU,0
14.64,monthly,25.29,1,delayed,16.83,79.93,4,,1
13.08,monthly,18.63,0,on_time,14.26,51.24,21,NA,0
16.32,monthly,19.64,2,on_time,17.14,21.27,10,APAC,1
4.92,monthly,18.14,1,on_time,15.94,45.64,7,APAC,1
15.47,monthly,19.26,1,failed,29.13,79.11,4,EU,0
20.55,monthly,26.61,1,failed,16.56,61.81,7,NA,1
16.97,monthly,0.84,2,delayed,15.68,67.78,14,APAC,0
22.66,monthly,25.17,1,on_time,17.53,91.41,12,NA,0
13.36,monthly,12.44,1,on_time,14.84,61.01,13,NA,0
12.78,monthly,18.27,3,on_time,5.5,81.76,12,EU,0
8.18,annual,4.82,3,on_time,19.15,129.44,19,LATAM,1
13.16,monthly,18.05,2,,,73.33,20,EU,1
29.76,annual,25.06,4,delayed,24.33,70.42,6,APAC,1
17.93,monthly,27.03,2,on_time,19.14,94.65,10,LATAM,1
11.9,annual,8.95,2,on_time,13.39,54.99,40,EU,0
8.96,annual,26.5,1,chargeback,16.58,60.69,6,LATAM,0
4.81,annual,34.54,1,delayed,,73.2,16,NA,0
10.19,quarterly,16.57,0,on_time,13.66,89.43,22,EU,0
21.31,quarterly,22.01,4,failed,7.84,57.95,27,NA,0
13.01,quarterly,,2,on_time,28.26,99.63,19,APAC,0
9.29,quarterly,12.13,2,on_time,8.89,127.31,11,MEA,1
10.06,monthly,24.98,3,on_time,5.57,30.44,9,APAC,0
20.55,monthly,32.51,3,failed,16.91,94.96,18,APAC,0
15.43,monthly,15.41,2,on_time,17.45,81.44,23,NA,0
11.61,annual,51.36,3,on_time,17.75,68.11,32,MEA,0
13.84,monthly,25.45,1,on_time,20.27,93.14,29,EU,0
,monthly,7.99,1,on_time,14.03,122.62,24,NA,0
,quarterly,36.16,1,delayed,14.12,91.2,5,MEA,1
26.28,monthly,8.22,3,on_time,11.56,110.86,6,,1
3.74,monthly,25.61,1,on_time,15.82,82.91,54,EU,0
14.94,monthly,11.78,3,on_time,18.25,94.22,13,NA,0
11.49,monthly,7.07,2,,20.44,68.77,17,,0
19.81,monthly,32.58,1,on_time,9.61,85.06,2,,1
23.42,monthly,19.14,3,on_time,7.52,76.39,25,EU,0
18.28,monthly,40.98,4,on_time,20.31,86.99,15,MEA,0
9.89,monthly,10.8,1,on_time,11.83,37.65,14,NA,1
11.37,monthly,,2,delayed,9.09,52.78,51,APAC,1
20.34,quarterly,16.72,4,chargeback,3.9,117.27,19,APAC,1
21.04,monthly,,0,on_time,23.44,123.03,12,APAC,0
16.99,annual,31.17,3,on_time,16.65,31.97,14,EU,0
16.91,annual,28.09,3,on_time,18.27,61.31,9,APAC,0
16.35,monthly,28.46,2,on_time,17.62,63.06,6,APAC,1
17.88,monthly,16.67,1,on_time,16.28,91.09,13,LATAM,0
21.01,monthly,,3,,14.86,81.65,4,NA,1
20.41,annual,27.04,1,delayed,14.58,92.74,10,,0
16.17,quarterly,26.01,3,on_time,9.14,46.16,1,APAC,1
15.66,quarterly,32.83,0,failed,4.41,93.8,25,NA,0
15.39,monthly,7.99,2,on_time,28.47,74.65,44,NA,0
10.54,quarterly,12.33,1,on_time,15.23,63.36,13,,1
10.45,monthly,19.3,0,on_time,12.37,96.37,7,NA,1
19.81,quarterly,32.9,2,,,77.08,16,NA,0
,monthly,7.72,5,failed,21.3,81.18,27,APAC,1
21.7,quarterly,21.26,2,on_time,15.87,121.42,8,NA,0
15.64,annual,19.7,0,on_time,9.82,77.39,21,NA,1
21.74,monthly,4.68,0,on_time,13.18,138.46,4,NA,0
20.46,quarterly,16.4,2,failed,16.87,18.77,16,NA,1
21.9,monthly,27.96,2,on_time,12.68,83.73,22,EU,0
12.67,quarterly,5.68,1,on_time,19.89,52.88,3,LATAM,1
18.86,monthly,37.52,1,on_time,27.74,58.01,22,NA,0
21.17,annual,27.15,1,failed,12.47,59.08,12,EU,0
5.14,monthly,25.81,1,on_time,13.29,109.83,35,APAC,1
27.91,annual,22.09,4,on_time,10.02,65.35,15,NA,0
31.86,quarterly,9.98,1,failed,14.08,52.04,23,,0
22.63,quarterly,14.85,2,on_time,3.24,102.47,41,EU,0
21.64,quarterly,25.98,3,on_time,21.6,50.89,12,NA,0
20.12,quarterly,14.83,2,on_time,7.0,130.82,2,EU,0
13.74,annual,24.08,1,on_time,10.16,43.07,7,NA,1
15.23,monthly,12.11,1,on_time,15.5,75.96,14,LATAM,0
22.75,quarterly,26.97,1,on_time,23.26,137.88,56,MEA,0
9.19,monthly,27.79,2,on_time,9.87,74.91,34,LATAM,0
8.57,quarterly,4.1,1,on_time,13.88,95.86,8,NA,0
13.22,monthly,22.74,2,on_time,16.76,80.93,11,APAC,1
20.59,monthly,5.26,2,,10.97,83.96,21,APAC,0
9.94,monthly,1.53,2,on_time,14.28,61.08,30,NA,0
14.42,monthly,,0,on_time,5.46,96.69,4,MEA,1
15.25,monthly,52.77,2,on_time,11.83,121.17,21,APAC,1
8.92,quarterly,30.53,0,delayed,22.38,29.62,14,NA,0
1.0,quarterly,37.31,2,on_time,,58.12,3,MEA,0
8.81,monthly,28.69,4,on_time,12.34,68.53,10,NA,0
17.83,quarterly,24.26,0,on_time,8.92,59.16,9,EU,0
19.4,annual,31.85,2,on_time,13.73,91.8,8,NA,0
19.46,monthly,14.96,2,delayed,6.22,67.03,30,NA,0
20.27,monthly,27.18,0,failed,13.82,86.27,18,MEA,1
11.62,monthly,34.95,4,delayed,12.54,125.75,10,APAC,1
10.12,quarterly,29.69,4,on_time,12.32,33.74,9,NA,0
18.63,monthly,35.67,0,on_time,14.15,92.88,16,APAC,0
14.52,quarterly,24.01,1,,18.22,80.56,10,LATAM,0
22.35,quarterly,40.61,2,delayed,8.77,80.65,22,LATAM,0
18.67,monthly,19.71,1,failed,20.75,58.66,12,MEA,0
24.99,annual,45.29,1,failed,21.75,66.01,2,LATAM,1
12.74,quarterly,28.31,0,on_time,28.2,83.78,4,APAC,1
23.47,monthly,17.78,1,delayed,16.78,78.85,8,NA,0
30.24,monthly,9.03,2,on_time,23.84,103.52,12,MEA,0
16.38,monthly,13.11,4,delayed,,53.37,18,NA,1
19.5,monthly,11.45,3,on_time,16.14,44.89,17,NA,0
9.49,monthly,21.02,1,on_time,7.7,27.83,37,EU,0
22.26,annual,,0,on_time,20.37,79.16,1,,0
23.9,monthly,,1,failed,16.44,105.18,1,APAC,0
12.54,monthly,23.22,0,on_time,25.72,51.15,3,LATAM,0
20.1,quarterly,22.77,1,on_time,19.44,48.65,6,EU,1
17.96,monthly,9.18,2,on_time,21.33,136.88,23,APAC,0
18.74,annual,13.54,1,on_time,11.53,107.79,16,EU,0
21.68,quarterly,0.0,2,failed,16.47,121.35,3,APAC,1
19.63,monthly,39.8,2,,3.46,93.78,6,NA,0
15.03,monthly,6.41,1,on_time,18.33,103.75,7,NA,0
21.83,annual,7.24,1,delayed,22.31,68.37,5,APAC,0
23.78,quarterly,,3,on_time,,44.14,10,EU,0
12.12,annual,26.26,0,on_time,,41.0,8,EU,0
15.99,monthly,23.33,2,on_time,4.12,84.09,9,NA,1
3.62,annual,25.74,3,on_time,11.77,98.91,3,NA,1
20.09,quarterly,32.49,1,on_time,14.53,79.31,18,APAC,0
24.56,monthly,23.1,3,on_time,17.45,101.05,12,EU,0
14.2,quarterly,5.02,0,on_time,2.82,81.49,7,EU,1
16.93,quarterly,30.07,2,delayed,14.37,92.52,4,LATAM,0
14.46,monthly,26.65,1,delayed,8.78,105.58,9,APAC,0
13.31,monthly,34.89,1,failed,23.68,121.26,2,NA,1
17.63,annual,8.26,0,on_time,2.0,82.79,16,APAC,0
10.51,monthly,13.98,2,on_time,21.08,138.3,17,NA,0
14.35,monthly,26.31,2,chargeback,14.04,77.47,12,NA,1
9.67,monthly,11.61,2,,2.72,121.06,36,APAC,1
20.12,monthly,0.0,2,on_time,25.06,100.31,17,NA,0
17.67,annual,24.17,1,on_time,23.1,29.47,21,,0
12.98,quarterly,31.85,2,on_time,22.5,123.58,17,LATAM,0
16.26,monthly,20.58,1,on_time,15.56,58.29,17,APAC,0
14.45,annual,28.03,4,on_time,10.97,69.33,14,MEA,0
24.01,annual,26.44,2,on_time,15.39,97.6,21,,0
12.91,monthly,22.12,1,failed,18.28,63.15,13,NA,1
20.45,annual,23.5,2,on_time,11.75,73.81,5,APAC,0
11.06,monthly,36.84,5,on_time,9.85,102.4,22,EU,1
21.7,annual,11.39,4,on_time,17.96,54.88,16,APAC,0
23.26,quarterly,30.5,2,delayed,16.17,77.4,5,NA,0
23.59,quarterly,9.01,4,delayed,20.56,74.1,11,NA,0
26.3,monthly,13.26,2,on_time,24.14,110.99,3,NA,1
18.05,annual,35.16,1,on_time,20.14,115.12,30,APAC,0
24.67,monthly,8.69,3,on_time,8.09,53.2,16,NA,0
27.37,monthly,19.34,1,delayed,14.92,86.18,4,APAC,0
8.15,monthly,47.97,1,on_time,17.32,69.32,10,LATAM,0
11.78,quarterly,,2,failed,19.86,84.87,5,APAC,0
5.53,monthly,13.89,1,on_time,20.15,133.47,8,EU,0
23.43,annual,15.78,0,on_time,14.65,85.17,17,NA,0
5.44,quarterly,20.13,1,on_time,12.06,68.23,22,MEA,0
3.54,monthly,36.43,2,on_time,21.05,45.69,4,APAC,0
8.32,monthly,10.98,2,,17.27,111.97,30,EU,0
